sbn,category,band,score,hardest_rule,solved_via,steps,n_solutions
551WAQv0SGb,plain,Medium,100.0,exclusion,logic,12,1
551W4J49YL4,plain,Easy,15.5,row_col_last,logic,10,1
551W4rP6MY4,plain,Medium,61.0,region_confined,logic,12,1
551W0gtEAb4,plain,Medium,150.0,undercounting,logic,10,1
551WCH48gCY,plain,Easy,15.5,row_col_last,logic,9,1
551W0GxMfKa,plain,Medium,140.0,exclusion,logic,13,1
551W2J48atC,plain,Medium,61.0,region_confined,logic,12,1
551W25I8pV2,plain,Medium,100.0,exclusion,logic,12,1
551W2HRi2v2,plain,Medium,100.0,exclusion,logic,12,1
551W09YohqY,plain,Easy,15.5,row_col_last,logic,9,1
551W2ObM8OX,plain,Easy,15.5,row_col_last,logic,10,1
551W4LO2Q8g,plain,Medium,100.0,exclusion,logic,13,1
551W84p8ghI,plain,Medium,100.0,exclusion,logic,12,1
551W4C69cz8,plain,Easy,15.5,row_col_last,logic,9,1
551W4Z1IiCo,plain,Medium,100.0,exclusion,logic,12,1
551W0ipACo5,plain,Medium,100.0,exclusion,logic,14,1
551W48o94pA,plain,Medium,61.0,region_confined,logic,12,1
551W2gfMPWW,plain,Medium,61.0,region_confined,logic,13,1
551W4Hce1P4,plain,Easy,15.5,row_col_last,logic,9,1
551W5Sp94WX,plain,Medium,82.0,region_confined,logic,12,1
551W4HRGJPI,plain,Medium,166.0,region_confined,logic,12,1
551W8sHWVCu,plain,Easy,15.5,row_col_last,logic,7,1
551W4H-a2Kq,plain,Medium,100.0,exclusion,logic,11,1
551W28WGp9c,plain,Medium,100.0,exclusion,logic,9,1
551W8bH8Cgy,plain,Easy,15.5,row_col_last,logic,7,1
551W8LAGRk4,plain,Medium,100.0,exclusion,logic,13,1
551W40AhiHc,plain,Medium,100.0,exclusion,logic,12,1
551W26HH2Ev,plain,Medium,61.0,region_confined,logic,13,1
551W9R2GiU8,plain,Easy,15.5,row_col_last,logic,10,1
551W4UrK6g8,plain,Medium,150.0,undercounting,logic,13,1
551W20qBkrY,plain,Easy,15.5,row_col_last,logic,9,1
551W1f3QLQI,plain,Medium,150.0,undercounting,logic,12,1
551W9f9L7I2,plain,Medium,145.0,region_confined,logic,15,1
551W191A8xs,plain,Medium,100.0,exclusion,logic,10,1
551W1PLU8JG,plain,Easy,15.5,row_col_last,logic,9,1
551W8iXL07u,plain,Easy,15.5,row_col_last,logic,7,1
551W5xIA2Qa,plain,Hard,500.0,finned_counts,logic,15,1
551W9R8XAZ4,plain,Medium,61.0,region_confined,logic,11,1
551W4HX4YPa,plain,Medium,40.0,region_confined,logic,8,1
551W8XJ0cPL,plain,Medium,100.0,exclusion,logic,9,1
551W5oZ4eGu,plain,Easy,15.5,row_col_last,logic,7,1
551W2573Tcb,plain,Medium,100.0,exclusion,logic,10,1
551W5aHH8cI,plain,Medium,40.0,region_confined,logic,12,1
551W8nB5hLa,plain,Medium,100.0,exclusion,logic,12,1
551W5QZD2Q2,plain,Medium,100.0,exclusion,logic,11,1
551W8wP19rI,plain,Easy,15.5,row_col_last,logic,9,1
551W2LKX5ge,plain,Hard,580.0,finned_counts,logic,13,1
551W4Zt8z1I,plain,Medium,100.0,exclusion,logic,13,1
551W4G6nKgP,plain,Easy,15.5,row_col_last,logic,10,1
551W2JaHaf4,plain,Easy,15.5,row_col_last,logic,10,1
551W2vL2LZ9,plain,Medium,40.0,region_confined,logic,10,1
551WA8YG8ap,plain,Medium,100.0,exclusion,logic,11,1
551W25s54Mo,plain,Medium,100.0,exclusion,logic,12,1
551W0f6I4VC,plain,Medium,40.0,region_confined,logic,10,1
551W3EPW6QX,plain,Medium,40.0,region_confined,logic,12,1
551W2JQ8KvY,plain,Medium,150.0,undercounting,logic,13,1
551W6Ag2UOH,plain,Medium,100.0,exclusion,logic,10,1
551W9LqHCGa,plain,Medium,150.0,undercounting,logic,11,1
551W88gXjs8,plain,Medium,100.0,exclusion,logic,11,1
551W1eYAcQ8,plain,Medium,100.0,exclusion,logic,12,1
551W0DLGYMP,plain,Medium,100.0,exclusion,logic,8,1
551WAPLG8X5,plain,Medium,40.0,region_confined,logic,9,1
